iter	Passed	Remaining
785	4771	1299
786	4777	1293
787	4783	1286
788	4790	1280
789	4795	1274
790	4801	1268
791	4808	1262
792	4814	1256
793	4819	1250
794	4825	1244
795	4831	1238
796	4837	1232
797	4843	1226
798	4849	1220
799	4855	1213
800	4861	1207
801	4867	1201
802	4873	1195
803	4879	1189
804	4885	1183
805	4891	1177
806	4897	1171
807	4903	1165
808	4909	1159
809	4915	1153
810	4921	1146
811	4927	1140
812	4933	1134
813	4939	1128
814	4945	1122
815	4951	1116
816	4957	1110
817	4963	1104
818	4969	1098
819	4975	1092
820	4981	1086
821	4987	1080
822	4993	1073
823	4999	1067
824	5005	1061
825	5011	1055
826	5017	1049
827	5023	1043
828	5029	1037
829	5035	1031
830	5041	1025
831	5047	1019
832	5053	1013
833	5058	1006
834	5064	1000
835	5070	994
836	5076	988
837	5083	982
838	5089	976
839	5095	970
840	5101	964
841	5107	958
842	5113	952
843	5118	946
844	5124	940
845	5130	933
846	5136	927
847	5142	921
848	5148	915
849	5154	909
850	5160	903
851	5166	897
852	5172	891
853	5178	885
854	5184	879
855	5190	873
856	5196	867
857	5202	861
858	5209	855
859	5216	849
860	5222	843
861	5228	837
862	5234	831
863	5240	824
864	5246	818
865	5252	812
866	5258	806
867	5265	800
868	5271	794
869	5277	788
870	5283	782
871	5289	776
872	5294	770
873	5301	764
874	5307	758
875	5313	752
876	5319	746
877	5325	739
878	5331	733
879	5336	727
880	5343	721
881	5348	715
882	5354	709
883	5360	703
884	5366	697
885	5373	691
886	5379	685
887	5385	679
888	5391	673
889	5397	667
890	5403	660
891	5409	654
892	5415	648
893	5420	642
894	5426	636
895	5432	630
896	5438	624
897	5444	618
898	5450	612
899	5456	606
900	5462	600
901	5468	594
902	5474	588
903	5480	582
904	5486	575
905	5492	569
906	5498	563
907	5504	557
908	5510	551
909	5517	545
910	5522	539
911	5528	533
912	5534	527
913	5540	521
914	5546	515
915	5552	509
916	5558	503
917	5564	497
918	5570	490
919	5578	485
920	5584	479
921	5590	472
922	5596	466
923	5602	460
924	5608	454
925	5614	448
926	5620	442
927	5626	436
928	5632	430
929	5638	424
930	5644	418
931	5650	412
932	5656	406
933	5662	400
934	5668	394
935	5674	388
936	5681	381
937	5687	375
938	5693	369
939	5699	363
940	5705	357
941	5711	351
942	5717	345
943	5723	339
944	5729	333
945	5735	327
946	5741	321
947	5747	315
948	5753	309
949	5758	303
950	5765	297
951	5770	290
952	5777	284
953	5783	278
954	5789	272
955	5795	266
956	5801	260
957	5807	254
958	5813	248
959	5819	242
960	5825	236
961	5831	230
962	5837	224
963	5843	218
964	5849	212
965	5855	206
966	5861	200
967	5867	193
968	5873	187
969	5879	181
970	5885	175
971	5891	169
972	5897	163
973	5903	157
974	5909	151
975	5915	145
976	5921	139
977	5927	133
978	5933	127
979	5939	121
980	5945	115
981	5950	109
982	5956	103
983	5962	96
984	5968	90
985	5974	84
986	5981	78
987	5987	72
988	5994	66
